run,mode,attack_type,alert_id,src_ip,alert_visible_at,containment_at,mttc_seconds,status
1,manual,DoS,bf0b1c81-ab50-480e-8d0e-6dfac53544e7,10.20.7.205,2026-05-23T16:43:31.659240+00:00,2026-05-23T16:46:56.028090+00:00,204.369,ok
2,manual,DoS,ea286a64-0082-4866-8a92-a87e901a18d0,10.20.7.205,2026-05-23T16:48:31.737622+00:00,2026-05-23T16:49:14.950280+00:00,43.213,ok
3,manual,DoS,1207469c-8fc3-427b-9e09-7ea1662a2a42,10.20.7.205,2026-05-23T16:50:52.670501+00:00,2026-05-23T16:51:58.909101+00:00,66.239,ok
4,manual,DoS,44589305-64b2-463d-9c3a-08c3fae4453a,10.20.7.205,2026-05-23T16:53:32.566308+00:00,2026-05-23T16:54:32.942608+00:00,60.376,ok
5,manual,DoS,1523bde8-1280-42b2-b02a-a72ec397ea69,10.20.7.205,2026-05-23T16:56:06.655996+00:00,2026-05-23T16:56:44.479909+00:00,37.824,ok
