run,mode,attack_type,alert_id,src_ip,alert_visible_at,containment_at,mttc_seconds,status
1,automated,DoS,d276a4ec-bf35-4de3-a8a6-0439f870ce1f,10.20.7.205,2026-05-23T17:08:51.959137+00:00,2026-05-23T17:08:51.984350+00:00,0.025,ok
2,automated,DoS,250c37f8-f1d2-43f7-ad21-2867bd451076,10.20.7.205,2026-05-23T17:10:28.240455+00:00,2026-05-23T17:10:28.259985+00:00,0.02,ok
3,automated,DoS,a9f09418-8eab-4168-8d70-1b5f0fda677d,10.20.7.205,2026-05-23T17:12:02.509262+00:00,2026-05-23T17:12:02.529033+00:00,0.02,ok
4,automated,DoS,959f6584-bb68-48ef-950f-cd3a5650593b,10.20.7.205,2026-05-23T17:13:38.786829+00:00,2026-05-23T17:13:38.805071+00:00,0.018,ok
5,automated,DoS,a7f6470a-4dc4-4a27-827f-754ee2a40d4b,10.20.7.205,2026-05-23T17:15:13.051271+00:00,2026-05-23T17:15:13.073985+00:00,0.023,ok
